Model,Tiling,Index,Name,Type,Kernel,Stride,InputShape,OutputShape,Weight_B,Remaining_for_tiles,InTile_HW,InTile_B,OutTile_HW,OutTile_B,TileIO_B,Meta_B,TotalUB,Budget,WeightFitsUB,FailReason,Verdict
YOLOv10s,Adaptive_Full,73,model.23.one2one_cv3.0.0.1.conv,1x1,1x1,1,80x80x128,80x80x128,16384,245248,30x30,115200,30x30,115200,230400,512,247296,262144,True,,PASS
YOLOv10s,Adaptive_Full,74,model.23.one2one_cv3.0.1.0.conv,DW,3x3,1,80x80x128,80x80x128,1152,260480,32x32,131072,30x30,115200,246272,512,247936,262144,True,,PASS
YOLOv10s,Adaptive_Full,75,model.23.one2one_cv3.0.1.1.conv,1x1,1x1,1,80x80x128,80x80x128,16384,245248,30x30,115200,30x30,115200,230400,512,247296,262144,True,,PASS
YOLOv10s,Adaptive_Full,76,model.23.one2one_cv3.0.2,1x1,1x1,1,80x80x128,80x80x80,10240,251392,34x34,147968,34x34,92480,240448,512,251200,262144,True,,PASS
YOLOv10s,Adaptive_Full,77,model.23.one2one_cv3.1.0.0.conv,DW,3x3,1,40x40x256,40x40x256,2304,259328,23x23,135424,21x21,112896,248320,512,251136,262144,True,,PASS
YOLOv10s,Adaptive_Full,78,model.23.one2one_cv3.1.0.1.conv,1x1,1x1,1,40x40x256,40x40x128,32768,228864,24x24,147456,24x24,73728,221184,512,254464,262144,True,,PASS
YOLOv10s,Adaptive_Full,79,model.23.one2one_cv3.1.1.0.conv,DW,3x3,1,40x40x128,40x40x128,1152,260480,32x32,131072,30x30,115200,246272,512,247936,262144,True,,PASS
YOLOv10s,Adaptive_Full,80,model.23.one2one_cv3.1.1.1.conv,1x1,1x1,1,40x40x128,40x40x128,16384,245248,30x30,115200,30x30,115200,230400,512,247296,262144,True,,PASS
YOLOv10s,Adaptive_Full,81,model.23.one2one_cv3.1.2,1x1,1x1,1,40x40x128,40x40x80,10240,251392,34x34,147968,34x34,92480,240448,512,251200,262144,True,,PASS
YOLOv10s,Adaptive_Full,82,model.23.one2one_cv3.2.0.0.conv,DW,3x3,1,20x20x512,20x20x512,4608,257024,16x16,131072,14x14,100352,231424,512,236544,262144,True,,PASS
YOLOv10s,Adaptive_Full,83,model.23.one2one_cv3.2.0.1.conv,1x1,1x1,1,20x20x512,20x20x128,65536,196096,17x17,147968,17x17,36992,184960,512,251008,262144,True,,PASS
YOLOv10s,Adaptive_Full,84,model.23.one2one_cv3.2.1.0.conv,DW,3x3,1,20x20x128,20x20x128,1152,260480,22x22,61952,20x20,51200,113152,512,114816,262144,True,,PASS
YOLOv10s,Adaptive_Full,85,model.23.one2one_cv3.2.1.1.conv,1x1,1x1,1,20x20x128,20x20x128,16384,245248,20x20,51200,20x20,51200,102400,512,119296,262144,True,,PASS
YOLOv10s,Adaptive_Full,86,model.23.one2one_cv3.2.2,1x1,1x1,1,20x20x128,20x20x80,10240,251392,20x20,51200,20x20,32000,83200,512,93952,262144,True,,PASS
