Model,Index,Core,Name,Type,Kernel,Stride,OutHW,OutC,InC,CurWeight,MaxWeight,Margin,WeightOK,MinT_Q,Tiles_Q,TileShare,InTile_HW,InTile_B,OutTile_B,T_AdaptFull,Tiles_AdaptFull
YOLOv10s,29,3,model.8.m.0.cv1.4.conv,DW,3x3,1,20x20,256,256,2304,252928,250624,True,3,49,64,5x5,6400,2304,20,1
YOLOv10s,30,3,model.8.cv2.conv,1x1,1x1,1,20x20,512,768,393216,250112,-143104,False,3,49,64,3x3,6912,4608,1,400
YOLOv10s,31,4,model.9.cv1.conv,1x1,1x1,1,20x20,256,512,131072,254720,123648,True,3,49,64,3x3,4608,2304,13,4
YOLOv10s,32,4,model.9.cv2.conv,1x1,1x1,1,20x20,512,1024,524288,247808,-276480,False,3,49,64,3x3,9216,4608,1,400
YOLOv10s,33,4,model.10.cv1.conv,1x1,1x1,1,20x20,512,512,262144,252416,-9728,False,3,49,64,3x3,4608,4608,1,400
YOLOv10s,34,4,model.10.attn.qkv.conv,1x1,1x1,1,20x20,512,256,131072,254720,123648,True,3,49,64,3x3,2304,4608,13,4
YOLOv10s,35,4,model.10.attn.pe.conv,DW,3x3,1,20x20,256,256,2304,252928,250624,True,3,49,64,5x5,6400,2304,20,1
YOLOv10s,36,4,model.10.attn.proj.conv,1x1,1x1,1,20x20,256,256,65536,257024,191488,True,3,49,64,3x3,2304,2304,19,4
YOLOv10s,37,4,model.10.ffn.0.conv,1x1,1x1,1,20x20,512,256,131072,254720,123648,True,3,49,64,3x3,2304,4608,13,4
YOLOv10s,38,5,model.10.ffn.1.conv,1x1,1x1,1,20x20,256,512,131072,224000,92928,True,7,9,12,7x7,25088,12544,13,4
YOLOv10s,39,5,model.10.cv2.conv,1x1,1x1,1,20x20,512,512,262144,211456,-50688,False,7,9,12,7x7,25088,25088,1,400
YOLOv10s,40,5,model.13.cv1.conv,1x1,1x1,1,40x40,256,768,196608,211456,14848,True,7,36,48,7x7,37632,12544,7,36
YOLOv10s,41,5,model.13.m.0.cv1.conv,Conv,3x3,1,40x40,128,128,147456,244992,97536,True,7,36,48,9x9,10368,6272,20,4
YOLOv10s,42,5,model.13.m.0.cv2.conv,Conv,3x3,1,40x40,128,128,147456,244992,97536,True,7,36,48,9x9,10368,6272,20,4
YOLOv10s,43,5,model.13.cv2.conv,1x1,1x1,1,40x40,256,384,98304,230272,131968,True,7,36,48,7x7,18816,12544,15,9
YOLOv10s,44,5,model.16.cv1.conv,1x1,1x1,1,80x80,128,384,49152,236544,187392,True,7,144,192,7x7,18816,6272,20,16
YOLOv10s,45,6,model.16.m.0.cv1.conv,Conv,3x3,1,80x80,64,64,36864,251136,214272,True,8,100,113,10x10,6400,4096,40,4
YOLOv10s,46,6,model.16.m.0.cv2.conv,Conv,3x3,1,80x80,64,64,36864,251136,214272,True,8,100,113,10x10,6400,4096,40,4
YOLOv10s,47,6,model.16.cv2.conv,1x1,1x1,1,80x80,128,192,24576,241152,216576,True,8,100,113,8x8,12288,8192,27,9
